,F,Website,Name,Type,Adress,County_seat,state,zipCode,Lat,Lon,price_room_per_night,Star,city_has_criminal_recorded_courtcase,hotspot_Paloris,strip_club_40min,# massage_parlor_nearby,identified_online_ads,recent_has_sport_event,race_white_more_than_60%,male_avg_Earning,Single_Rate,white_male,white_population,white_average,male_rate,marriage_rate,Ave_Earning,risk
44,46,Hotel.com,Inns of Virginia - Falls Church,Inn,"421 West Broad Street, Falls Church, VA, 22046, United States",Falls Church,VA,,38.88583,-77.17747,$95 ,2.0,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.34146843257564913
45,47,Hotel.com,Comfort Inn University Center,Inn,"11180 Main St, Fairfax, VA, 22030, United States",Fairfax,VA,,38.8565,-77.33072,$71 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.46853021235295006
46,48,Hotel.com,Governor House Inn Arlington/Falls Church Area,Motel,"6650 Arlington Blvd, Falls Church, VA, 22042, United States",Falls Church,VA,,38.87039,-77.17344,$94 ,2.5,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.34146793444644
47,49,Hotel.com,"Motel 6 Falls Church, VA – Arlington Boulevard",,"6652 ARLINGTON BLVD, Falls Church, VA, 22042, United States",Falls Church,VA,,38.87016,-77.17335,$76 ,2.0,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.34151013466517555
48,50,Hotel.com,Extended Stay America - Washington DC-Fairfax-Fair Oaks Mall,,"12055 Lee Jackson Memorial Hwy, Fairfax, VA, 22033, United States",Fairfax,VA,,38.86572,-77.3623,$90 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.4683755537166415
49,51,Hotel.com,Days Inn by Wyndham Alexandria,Inn,"110 S Bragg St, Alexandria, VA, 22312, United States",Alexandria,VA,,38.81592,-77.14104,$69 ,2.0,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.882979640080425
50,52,Hotel.com,Days Inn by Wyndham Manassas Battlefield,,"7249 New Market Ct, I-66 Exit 47A and RT 234, Manassas, VA, 20109-2437, United States",Manassas,VA,,38.7993,-77.52123,$61 ,2.0,0,1,1,1,1,0,1,"$48,321",46.60%,13772.23,27484,66.30%,50.11%,53.40%,"$41,688",0.6502010586679808
51,53,Hotel.com,Quality Inn Manassas,,"10653 Balls Ford Rd, Manassas, VA, 20109, United States",Manassas,VA,,38.79807,-77.51628000000001,$65 ,2.5,0,1,1,1,1,0,1,"$48,321",46.60%,13772.23,27484,66.30%,50.11%,53.40%,"$41,688",0.6500808753444189
52,54,Hotel.com,Days Inn by Wyndham Arlington Pentagon,,"3030 Columbia Pike, Arlington, VA, 22204, United States",Arlington,VA,,38.86203,-77.08806,$66 ,2.0,1,1,1,1,0,0,0,"$85,536",55.60%,82142.06,165609,71.44%,49.60%,44.40%,"$76,895",0.9258870857619566
53,55,Hotel.com,Super 8 by Wyndham Alexandria/Washington D.C. Area,,"110 B South Bragg St, Alexandria, VA, 22312, United States",Alexandria,VA,,38.81592,-77.14104,$69 ,2.0,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.882979640080425
54,56,Hotel.com,The Virginia Lodge,Motel,"6027 Richmond Highway, Alexandria, VA, 22303, United States",Alexandria,VA,,38.82956,-77.05093000000001,$69 ,2.0,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.882979640080425
55,57,Hotel.com,Extended Stay America - Washington DC - Chantilly,,"4504 Brookfield Corporate Dr, Chantilly, VA, 20151, United States",Chantilly,VA,,38.88361,-77.44574,$70 ,2.5,0,1,1,1,1,0,0,"$68,027",43.70%,6422.77,13081,53.26%,49.10%,56.30%,"$54,796",0.3634218266068751
56,58,Hotel.com,Days Inn by Wyndham Alexandria South,,"6100 Richmond Hwy, Alexandria, VA, 22303, United States",Alexandria,VA,,38.82956,-77.05093000000001,$70 ,2.0,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.8829691942614672
57,59,Hotel.com,Suburban Extended Stay Wash. Dulles/Sterling,,"45510 East Severn Way, Sterling, VA, 20166, United States",Sterling,VA,,39.021229999999996,-77.4259,$70 ,2.0,0,1,1,1,1,0,1,"$52,172",49.98%,9005.77,17897,58.87%,50.32%,50.02%,"$41,943",0.49056693520723493
58,60,Hotel.com,Comfort Inn University Center,,"11180 Main St, Fairfax, VA, 22030, United States",Fairfax,VA,,38.8565,-77.33072,$71 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.46853021235295006
59,61,Hotel.com,Sleep Inn Woodbridge,,"14080 Shoppers Best Way, Woodbridge, VA, 22192, United States",Woodbridge,VA,,38.649440000000006,-77.2991,$72 ,2.5,1,1,1,1,1,0,0,"$73,750",45.70%,1139.81,2292,66.41%,49.73%,54.30%,"$55,233",0.2931575839180228
60,62,Hotel.com,Inns Of Virginia - Arlington,,"3335 Lee Highway, Arlington, VA, 22207, United States",Arlington,VA,,38.89665,-77.10255,$75 ,2.0,1,1,1,1,0,0,0,"$85,536",55.60%,82142.06,165609,71.44%,49.60%,44.40%,"$76,895",0.925836405127518
61,63,Hotel.com,"Extended Stay America Washington, DC - Sterling",,"46001 Waterview Plz, Sterling, VA, 20166, United States",Sterling,VA,,39.032,-77.40939,$75 ,2.5,0,1,1,1,1,0,1,"$52,172",49.98%,9005.77,17897,58.87%,50.32%,50.02%,"$41,943",0.4904510988559748
62,64,Hotel.com,"Extended Stay America Washington, D.C. - Chantilly- Airport",,"4506 Brookfield Corporate Dr, Chantilly, VA, 20151, United States",Chantilly,VA,,38.88333,-77.44745,$75 ,2.5,0,1,1,1,1,0,0,"$68,027",43.70%,6422.77,13081,53.26%,49.10%,56.30%,"$54,796",0.36338351781540745
63,65,Hotel.com,Wingate by Wyndham Springfield,,"6550 Loisdale Court, Springfield, VA, 22150, United States",Springfield,VA,,38.77705,-77.17896,$75 ,2.5,1,1,1,1,1,0,0,"$48,855",50.90%,8595.66,17510,68.00%,49.09%,49.10%,"$42,497",0.5962099396083516
64,66,Hotel.com,Comfort Suites Dulles Airport,,"13980 Metrotech Dr, Chantilly, VA, 20151, United States",Chantilly,VA,,38.89691,-77.42719,$84 ,2.5,0,1,1,1,1,0,0,"$68,027",43.70%,6422.77,13081,53.26%,49.10%,56.30%,"$54,796",0.3633146302177729
65,67,Hotel.com,Moon Inn Hotel,,"6140 Richmond Hwy, Huntington, Alexandria, VA, 22303, United States",Alexandria,VA,,38.79248,-77.05657,$85 ,2.5,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.8828044190167406
